Graph 1, size: [100, 165]
Graph 2, size: [97, 1959]
Graph 3, size: [100, 550]
Graph 4, size: [100, 261]
Graph 5, size: [65, 508]
Graph 6, size: [94, 141]
Graph 7, size: [68, 160]
Graph 8, size: [30, 49]
Graph 9, size: [81, 144]
Graph 10, size: [77, 1585]
Graph 11, size: [70, 137]
Graph 12, size: [70, 1207]
Graph 13, size: [96, 1587]
Graph 14, size: [71, 775]
Graph 15, size: [63, 89]
Graph 16, size: [100, 2000]
Graph 17, size: [100, 2000]
Graph 18, size: [100, 2000]
Graph 19, size: [100, 2000]
Graph 20, size: [100, 148]
Graph 21, size: [100, 165]
Graph 22, size: [100, 2000]
Graph 23, size: [100, 1644]
Graph 24, size: [100, 124]
Graph 25, size: [100, 153]
Graph 26, size: [100, 189]
Graph 27, size: [100, 1000]
Graph 28, size: [100, 199]
Graph 29, size: [100, 186]
Graph 30, size: [100, 163]
Graph 31, size: [100, 165]
Graph 32, size: [100, 2000]
Graph 33, size: [100, 220]
Graph 34, size: [100, 154]
Graph 35, size: [100, 2000]
Graph 36, size: [100, 2000]
Graph 37, size: [100, 2000]
Graph 38, size: [100, 2000]
Graph 39, size: [100, 2000]
Graph 40, size: [100, 1985]
Graph 41, size: [100, 207]
Graph 42, size: [100, 208]
Graph 43, size: [100, 2000]
Graph 44, size: [100, 2000]
Graph 45, size: [100, 2000]
Graph 46, size: [64, 2000]
Graph 47, size: [100, 2000]
Graph 48, size: [100, 149]
Graph 49, size: [100, 560]
Graph 50, size: [100, 231]
Graph 51, size: [100, 2000]
Graph 52, size: [100, 1990]
Graph 53, size: [100, 1587]
Graph 54, size: [100, 197]
Graph 55, size: [100, 1739]
Graph 56, size: [100, 132]
Graph 57, size: [100, 550]
Graph 58, size: [100, 700]
Graph 59, size: [100, 800]
Graph 60, size: [100, 2000]
Graph 61, size: [100, 261]
Graph 62, size: [100, 984]
Graph 63, size: [100, 1972]
Graph 64, size: [100, 1015]
Graph 65, size: [100, 161]
Graph 66, size: [100, 188]
Graph 67, size: [100, 870]
Graph 68, size: [100, 500]
Graph 69, size: [100, 455]
Graph 70, size: [100, 150]
Graph 71, size: [100, 198]
Graph 72, size: [100, 2000]
Graph 73, size: [100, 2000]
Graph 74, size: [100, 2000]
Graph 75, size: [100, 957]
Graph 76, size: [100, 2000]
Graph 77, size: [100, 2000]
Graph 78, size: [100, 1748]
Graph 79, size: [100, 543]
Graph 80, size: [100, 431]
Graph 81, size: [100, 2000]
Graph 82, size: [100, 2000]
Graph 83, size: [100, 372]
Graph 84, size: [100, 376]
Graph 85, size: [100, 369]
Graph 86, size: [100, 2000]
Graph 87, size: [100, 2000]
Graph 88, size: [100, 291]
Graph 89, size: [100, 1000]
Graph 90, size: [100, 143]
Graph 91, size: [100, 1992]
Graph 92, size: [100, 2000]
